id,count,name
1,0,Cherkasy
2,2,Chernihiv
3,0,Chernivtsi
4,3,Crimea
5,0,Dnipropetrovs'k
6,0,Donets'k
7,0,Ivano-Frankivs'k
8,1,Kharkiv
9,0,Kherson
10,0,Khmel'nyts'kyy
11,2,Kiev City
12,0,Kiev
13,0,Kirovohrad
14,0,L'viv
15,0,Luhans'k
16,0,Mykolayiv
17,0,Odessa
18,0,Poltava
19,0,Rivne
20,0,Sevastopol'
21,0,Sumy
22,0,Ternopil'
23,0,Transcarpathia
24,0,Vinnytsya
25,0,Volyn
26,1,Zaporizhzhya
27,0,Zhytomyr
