"","UN","orientation","n"
"279",740,"k",1
"280",740,"l",1
"281",744,"k",4
"282",744,"l",3
"283",748,"k",2
"284",748,"l",0
"285",752,"k",5
"286",752,"l",2
"287",756,"k",47
"288",756,"l",41
"289",760,"k",26
"290",760,"l",26
"291",762,"k",17
"292",762,"l",16
"293",764,"k",12
"294",764,"l",12
"295",768,"k",2
"296",768,"l",0
"297",784,"k",12
"298",784,"l",10
"299",788,"k",31
"300",788,"l",19
"301",792,"k",36
"302",792,"l",26
"303",795,"k",24
"304",795,"l",13
"305",800,"k",2
"306",800,"l",3
"307",804,"k",381
"308",804,"l",226
"309",807,"k",3
"310",807,"l",2
"311",818,"k",34
"312",818,"l",42
"313",826,"k",186
"314",826,"l",150
"315",834,"k",5
"316",834,"l",4
"317",840,"k",563
"318",840,"l",289
"319",854,"k",2
"320",854,"l",2
"321",858,"k",5
"322",858,"l",3
"323",860,"k",35
"324",860,"l",50
"325",862,"k",12
"326",862,"l",8
"327",887,"k",12
"328",887,"l",11
"329",894,"k",3
"330",894,"l",1
