AREA,orientation,n,originalPlace,year
413018000000,k,1,chita,2009
709138000000,k,1,chukotka,2008
45938100000,l,1,shchelkovo,2012
19253200000,k,1,ekazhevo,2008
45938100000,l,1,elektrogorsk,2011
12455100000,l,2,el'brus,2006
12455100000,k,1,el'brus,2004
12455100000,k,1,el'brus,2006
3035630000000,l,1,iakutiia,2004
3035630000000,k,1,iakutiia,2005
