"","UN","orientation","n"
"279",800,"k",2
"280",800,"l",3
"281",804,"k",149
"282",804,"l",87
"283",807,"k",1
"284",807,"l",2
"285",818,"k",13
"286",818,"l",13
"287",826,"k",78
"288",826,"l",46
"289",834,"k",2
"290",834,"l",2
"291",840,"k",190
"292",840,"l",111
"293",854,"k",1
"294",854,"l",2
"295",858,"k",4
"296",858,"l",1
"297",860,"k",17
"298",860,"l",10
"299",862,"k",2
"300",862,"l",3
"301",887,"k",2
"302",887,"l",4
